material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,GMC Chile F23525,2,5,frame,1,GMC,Chile,0.27266361217262575,0.9160998639673521,0.4688999999999999,mm,0.2437479159719903,kg,0.22636161557444592,eur,0.75,True
2,Ford Thailand F34591,2,5,frame,1,Ford,Thailand,0.7672315479882357,0.5986636792830278,0.8057000000000005,mm,0.4731577192397466,kg,0.4211460126078641,eur,0.5,True
3,Honda Sweden F10982,2,5,frame,1,Honda,Sweden,0.024849442788259683,0.4538289189405459,0.7225,mm,0.02534178059353088,kg,0.017767840911441242,eur,0.75,True
4,Volkswagen Russia F1094,2,5,frame,1,Volkswagen,Russia,0.6253376282987536,0.35396495158838126,0.9625999999999999,mm,0.4524841613871289,kg,0.15524970254715434,eur,0.0,True
5,Ford Austria F21678,2,5,frame,1,Ford,Austria,0.8711310297913205,0.3251580379291031,0.9941999999999996,mm,0.5488496165388461,kg,0.923094151853896,eur,0.25,True
6,Acura Italy F6944,2,5,frame,1,Acura,Italy,0.424221204057542,0.7459790349683925,0.6824000000000001,mm,0.15305101700566823,kg,0.750659675844434,eur,0.0,True
7,Daimler Japan F19229,2,5,frame,1,Daimler,Japan,0.1540785498489428,0.7702248539649514,0.5344000000000005,mm,0.19639879959986667,kg,0.0015717647852842211,eur,1.0,True
8,Ford Korea F8090,2,5,frame,1,Ford,Korea,0.6832196234569138,0.8080739377450588,0.024399999999999977,mm,0.7089029676558851,kg,0.7186274333711068,eur,0.75,True
9,Toyota Egypt F11137,2,5,frame,1,Toyota,Egypt,0.5587723334867251,0.9681523565655756,0.27120000000000005,mm,0.9239746582194064,kg,0.9185704465221693,eur,0.5,True
10,Lincoln Indonesia F9666,2,5,frame,1,Lincoln,Indonesia,0.7621896320601826,0.018844522685444648,0.39809999999999945,mm,0.9759919973324441,kg,0.5221039032997944,eur,0.25,True
11,Honda Egypt F39817,2,5,frame,1,Honda,Egypt,0.6702747043876675,0.4056973673681684,0.40210000000000035,mm,0.6188729576525506,kg,0.18104795386187955,eur,0.0,True
